Month,Category,Type,Amount,Notes
2024-01-01,Salary,Income,45000.0,Monthly salary
2024-01-01,Freelance,Income,8000.0,Tutoring income
2024-01-01,Rent,Expense,12000.0,House rent
2024-01-01,Food,Expense,6500.0,Groceries and meals
2024-01-01,Transport,Expense,2200.0,Bus and fuel
2024-01-01,Utilities,Expense,1800.0,Electricity and water
2024-01-01,Health,Expense,1500.0,Gym membership
2024-01-01,Entertainment,Expense,1200.0,Eating out and leisure
2024-01-01,Savings,Savings,27800.0,Monthly savings deposit
2024-02-01,Salary,Income,45000.0,Monthly salary
2024-02-01,Freelance,Income,5000.0,Tutoring income
2024-02-01,Rent,Expense,12000.0,House rent
2024-02-01,Food,Expense,7200.0,Groceries and meals
2024-02-01,Transport,Expense,2500.0,Bus and fuel
2024-02-01,Utilities,Expense,2100.0,Electricity and water
2024-02-01,Health,Expense,1500.0,Gym membership
2024-02-01,Entertainment,Expense,900.0,Eating out and leisure
2024-02-01,Savings,Savings,23800.0,Monthly savings deposit
2024-03-01,Salary,Income,45000.0,Monthly salary
2024-03-01,Freelance,Income,12000.0,Tutoring income
2024-03-01,Rent,Expense,12000.0,House rent
2024-03-01,Food,Expense,6800.0,Groceries and meals
2024-03-01,Transport,Expense,3100.0,Bus and fuel
2024-03-01,Utilities,Expense,1600.0,Electricity and water
2024-03-01,Health,Expense,1500.0,Gym membership
2024-03-01,Entertainment,Expense,2000.0,Race entry fee
2024-03-01,Savings,Savings,29000.0,Monthly savings deposit
2024-04-01,Salary,Income,45000.0,Monthly salary
2024-04-01,Freelance,Income,6500.0,Tutoring income
2024-04-01,Rent,Expense,12000.0,House rent
2024-04-01,Food,Expense,7500.0,Groceries and meals
2024-04-01,Transport,Expense,2800.0,Bus and fuel
2024-04-01,Utilities,Expense,1900.0,Electricity and water
2024-04-01,Health,Expense,2500.0,Sports gear
2024-04-01,Entertainment,Expense,1100.0,Eating out and leisure
2024-04-01,Savings,Savings,23700.0,Monthly savings deposit
2024-05-01,Salary,Income,48000.0,Salary increment
2024-05-01,Freelance,Income,9000.0,Tutoring income
2024-05-01,Rent,Expense,12000.0,House rent
2024-05-01,Food,Expense,6200.0,Groceries and meals
2024-05-01,Transport,Expense,2400.0,Bus and fuel
2024-05-01,Utilities,Expense,2200.0,Electricity and water
2024-05-01,Health,Expense,1500.0,Gym membership
2024-05-01,Entertainment,Expense,800.0,Eating out and leisure
2024-05-01,Savings,Savings,31900.0,Monthly savings deposit
2024-06-01,Salary,Income,48000.0,Monthly salary
2024-06-01,Freelance,Income,7500.0,Tutoring income
2024-06-01,Rent,Expense,12000.0,House rent
2024-06-01,Food,Expense,6600.0,Missing entry
2024-06-01,Transport,Expense,2600.0,Bus and fuel
2024-06-01,Utilities,Expense,1700.0,Electricity and water
2024-06-01,Health,Expense,1500.0,Gym membership
2024-06-01,Entertainment,Expense,1500.0,Eating out and leisure
2024-06-01,Savings,Savings,35700.0,Monthly savings deposit
2024-07-01,Salary,Income,48000.0,Monthly salary
2024-07-01,Freelance,Income,10000.0,Tutoring income
2024-07-01,Rent,Expense,12000.0,House rent
2024-07-01,Food,Expense,7800.0,Groceries and meals
2024-07-01,Transport,Expense,3500.0,Bus and fuel
2024-07-01,Utilities,Expense,2400.0,Electricity and water
2024-07-01,Health,Expense,3000.0,Triathlon gear
2024-07-01,Entertainment,Expense,1800.0,Eating out and leisure
2024-07-01,Savings,Savings,27500.0,Monthly savings deposit
2024-07-01,Salary,Income,48000.0,Duplicate entry error
2024-08-01,Salary,Income,48000.0,Monthly salary
2024-08-01,Freelance,Income,4500.0,Tutoring income
2024-08-01,Rent,Expense,12000.0,House rent
2024-08-01,Food,Expense,6900.0,Groceries and meals
2024-08-01,Transport,Expense,2100.0,Bus and fuel
2024-08-01,Utilities,Expense,1800.0,Electricity and water
2024-08-01,Health,Expense,1500.0,Gym membership
2024-08-01,Entertainment,Expense,700.0,Eating out and leisure
2024-08-01,Savings,Savings,28500.0,Monthly savings deposit
2024-09-01,Salary,Income,48000.0,Monthly salary
2024-09-01,Freelance,Income,11000.0,Tutoring income
2024-09-01,Rent,Expense,12000.0,House rent
2024-09-01,Food,Expense,7300.0,Groceries and meals
2024-09-01,Transport,Expense,2700.0,Bus and fuel
2024-09-01,Utilities,Expense,1900.0,Electricity and water
2024-09-01,Health,Expense,1500.0,Gym membership
2024-09-01,Entertainment,Expense,2200.0,Marathon travel
2024-09-01,Savings,Savings,31400.0,Monthly savings deposit
2024-10-01,Salary,Income,48000.0,Monthly salary
2024-10-01,Freelance,Income,8000.0,Tutoring income
2024-10-01,Rent,Expense,12000.0,House rent
2024-10-01,Food,Expense,6600.0,Groceries and meals
2024-10-01,Transport,Expense,2300.0,Bus and fuel
2024-10-01,Utilities,Expense,6600.0,Missing entry
2024-10-01,Health,Expense,1500.0,Gym membership
2024-10-01,Entertainment,Expense,1000.0,Eating out and leisure
2024-10-01,Savings,Savings,32600.0,Monthly savings deposit
2024-11-01,Salary,Income,48000.0,Monthly salary
2024-11-01,Freelance,Income,6000.0,Tutoring income
2024-11-01,Rent,Expense,12000.0,House rent
2024-11-01,Food,Expense,7100.0,Groceries and meals
2024-11-01,Transport,Expense,2500.0,Bus and fuel
2024-11-01,Utilities,Expense,2000.0,Electricity and water
2024-11-01,Health,Expense,1500.0,Gym membership
2024-11-01,Entertainment,Expense,1300.0,Eating out and leisure
2024-11-01,Savings,Savings,27700.0,Monthly savings deposit
2024-12-01,Salary,Income,48000.0,Monthly salary
2024-12-01,Freelance,Income,15000.0,Year-end bonus
2024-12-01,Rent,Expense,12000.0,House rent
2024-12-01,Food,Expense,9500.0,Festive season groceries
2024-12-01,Transport,Expense,3200.0,Bus and fuel
2024-12-01,Utilities,Expense,2500.0,Electricity and water
2024-12-01,Health,Expense,2000.0,Year-end health checkup
2024-12-01,Entertainment,Expense,3500.0,Dashain and festive spending
2024-12-01,Savings,Savings,29300.0,Monthly savings deposit
